Board,Algorithm,Backtracks,Runtime (s)
board_4x4.sud,Pruned Backtracking,0,0.00018187200475949794
board_4x4.sud,Forward Checking,0,0.0011886919965036213
board_9x9_1.sud,Pruned Backtracking,412,0.0094856220021029
board_9x9_1.sud,Forward Checking,205,0.1352541750020464
board_9x9_3.sud,Pruned Backtracking,247,0.007021383004030213
board_9x9_3.sud,Forward Checking,103,0.07927047200064408
board_9x9_4.sud,Pruned Backtracking,44,0.0037697939987992868
board_9x9_4.sud,Forward Checking,35,0.053097178002644796
board2.sud,Pruned Backtracking,6786,0.08478646400180878
board2.sud,Forward Checking,2950,1.5503314109955681
